Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.LoginTests.shouldShowValidationErrorWhenPasswordIsEmpty","Empty password shows validation error","passed","8s 823ms",,,"Open login page passed (4s 83ms)
 Type username: user1 passed (1s 371ms)
  Submit login form expecting validation error passed (1s 248ms)
   Verify error message: Password is required (minimum 6 characters) passed (595ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowValidationErrorWhenUsernameIsEmpty","Empty username shows validation error","passed","8s 69ms",,,"Open login page passed (3s 308ms)
 Type password passed (1s 432ms)
  Submit login form expecting validation error passed (1s 244ms)
   Verify error message: Login is required (minimum 3 characters) passed (612ms)",,"Login",,"Authentication","Login",
"tests.RegisterTests.shouldRegisterNewUser","New user can register and land on home","passed","12s 537ms",,,"Open register page passed (4s 432ms)
 Fill and submit register form passed (5s 167ms)
   Type username: user_eb0a11ae passed (1s 426ms)
   Type password passed (1s 324ms)
   Type confirm password passed (1s 321ms)
   Submit register form passed (1s 96ms)
  Verify welcome message: Welcome, user_eb0a11ae! passed (1s 43ms)",,"Register",,"Authentication","Register",
"tests.HomeTests.pageLoadFetchesItems","Page load fetches health and items from API","passed","9s 647ms",,,"Open home page passed (5s 671ms)
 Verify home layout is mounted passed (1s 71ms)
  Verify health status contains: service: reference-app passed (596ms)
   Verify items list contains: Alpha passed (608ms)",,"Home",,"Home","Home load",
"tests.LogoutTests.shouldLogoutAfterFormLogin","User can logout after form login","passed","11s 820ms",,,"Open login page passed (4s 277ms)
 Fill and submit form passed (3s 629ms)
   Type username: user1 passed (1s 359ms)
   Type password passed (1s 242ms)
   Submit login form passed (1s 26ms)
  Verify welcome message: Welcome, user1! passed (1s 1ms)
   Click logout button passed (834ms)
    Verify form title message: Login Form passed (584ms)",,"Logout",,"Authentication","Logout",
"tests.LogoutTests.shouldLogoutAfterLocalStorageAuthentication","User can logout after localStorage authentication","passed","12s 360ms",,,"Open home page with local storage authentication passed (8s 189ms)
 Verify welcome message: Welcome, user1! passed (1s 165ms)
  Click logout button passed (871ms)
   Verify form title message: Login Form passed (615ms)",,"Logout",,"Authentication","Logout",
"tests.LoginTests.shouldLoginWithValidCredentials","User is logged in with valid credentials","passed","9s 759ms",,,"Open login page passed (3s 373ms)
 Fill and submit form passed (3s 787ms)
   Type username: user1 passed (1s 445ms)
   Type password passed (1s 276ms)
   Submit login form passed (1s 65ms)
  Verify welcome message: Welcome, user1! passed (1s 0ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowErrorWhenPasswordIsWrong","Wrong password shows readable error","passed","9s 656ms",,,"Open login page passed (3s 472ms)
 Type username: user1 passed (1s 471ms)
  Type password passed (1s 315ms)
   Submit login form expecting validation error passed (1s 291ms)
    Verify error message: Wrong login or password passed (617ms)",,"Login",,"Authentication","Login",
