Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.LoginTests.shouldShowValidationErrorWhenPasswordIsEmpty","Empty password shows validation error","passed","8s 880ms",,,"Open login page passed (3s 534ms)
 Type username: user1 passed (1s 426ms)
  Submit login form expecting validation error passed (1s 352ms)
   Verify error message: Password is required (minimum 6 characters) passed (595ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowValidationErrorWhenUsernameIsEmpty","Empty username shows validation error","passed","8s 984ms",,,"Open login page passed (3s 580ms)
 Type password passed (1s 429ms)
  Submit login form expecting validation error passed (1s 231ms)
   Verify error message: Login is required (minimum 3 characters) passed (604ms)",,"Login",,"Authentication","Login",
"tests.api.AuthApiTests.profileWithBearerToken","GET /api/auth/me returns profile for bearer token","passed","1s 984ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.AuthApiTests.profileWithoutToken","GET /api/auth/me without token returns 401","passed","319ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.ReferenceApiTests.healthEndpointReturnsOk","GET /api/health returns ok","passed","345ms",,,,,"Reference API",,"Home","Health and items",
"tests.api.ReferenceApiTests.itemsEndpointReturnsSeed","GET /api/items returns seeded PostgreSQL items","passed","492ms",,,,,"Reference API",,"Home","Health and items",
"tests.RegisterTests.shouldRegisterNewUser","New user can register and land on home","passed","11s 515ms",,,"Open register page passed (3s 724ms)
 Fill and submit register form passed (4s 795ms)
   Type username: user_522030f9 passed (1s 359ms)
   Type password passed (1s 199ms)
   Type confirm password passed (1s 202ms)
   Submit register form passed (1s 34ms)
  Verify welcome message: Welcome, user_522030f9! passed (961ms)",,"Register",,"Authentication","Register",
"tests.HomeTests.pageLoadFetchesItems","Page load fetches health and items from API","passed","10s 637ms",,,"Open home page passed (6s 552ms)
 Verify home layout is mounted passed (981ms)
  Verify health status contains: service: reference-app passed (570ms)
   Verify items list contains: Alpha passed (564ms)",,"Home",,"Home","Home load",
"tests.api.AuthApiTests.loginRejectsEmptyCredentials","POST /api/auth/login rejects empty credentials with 400","passed","334ms",,,,,"Auth API",,"Authentication","Authentication",
"tests.api.AuthApiTests.loginWithInvalidPassword","POST /api/auth/login rejects invalid password","passed","450ms",,,,,"Auth API",,"Authentication","Authentication",
