Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.HomeSmokeTests.pageLoadFetchesItems","Page load fetches health and items from API","passed","8s 441ms",,,"Open home page passed (6s 173ms)
 Verify home layout is mounted passed (1s 21ms)
  Verify health status contains: service: reference-app passed (614ms)
   Verify items list contains: Alpha passed (616ms)",,"Home smoke",,"Reference App","Home load",
"tests.LoginTests.shouldLoginWithValidCredentials","User is logged in with valid credentials","passed","11s 949ms",,,"Open login page passed (6s 625ms)
 Fill and submit form passed (4s 260ms)
   Type username: user1 passed (1s 479ms)
   Type password passed (1s 335ms)
   Submit login form passed (1s 445ms)
  Verify welcome message: Welcome, user1! passed (1s 36ms)",,"Login",,"Reference App","Login",
