Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.LoginTests.shouldShowValidationErrorWhenPasswordIsEmpty","Empty password shows validation error","passed","12s 565ms",,,"Open login page passed (9s 738ms)
 Type username: user1 passed (1s 228ms)
  Submit login form expecting validation error passed (1s 67ms)
   Verify error message: Password is required (minimum 6 characters) passed (528ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowValidationErrorWhenUsernameIsEmpty","Empty username shows validation error","passed","13s 565ms",,,"Open login page passed (10s 343ms)
 Type password passed (1s 303ms)
  Submit login form expecting validation error passed (1s 157ms)
   Verify error message: Login is required (minimum 3 characters) passed (756ms)",,"Login",,"Authentication","Login",
"tests.RegisterTests.shouldRegisterNewUser","New user can register and land on home","passed","14s 933ms",,,"Open register page passed (8s 717ms)
 Fill and submit register form passed (5s 229ms)
   Type username: user_1224abce passed (1s 459ms)
   Type password passed (1s 216ms)
   Type confirm password passed (1s 163ms)
   Submit register form passed (1s 390ms)
  Verify welcome message: Welcome, user_1224abce! passed (965ms)",,"Register",,"Authentication","Register",
"tests.HomeTests.pageLoadFetchesItems","Page load fetches health and items from API","passed","11s 528ms",,,"Open home page passed (9s 496ms)
 Verify home layout is mounted passed (895ms)
  Verify health status contains: service: reference-app passed (566ms)
   Verify items list contains: Alpha passed (555ms)",,"Home",,"Home","Home load",
"tests.LogoutTests.shouldLogoutAfterFormLogin","User can logout after form login","passed","15s 633ms",,,"Open login page passed (9s 923ms)
 Fill and submit form passed (3s 455ms)
   Type username: user1 passed (1s 316ms)
   Type password passed (1s 149ms)
   Submit login form passed (990ms)
  Verify welcome message: Welcome, user1! passed (933ms)
   Click logout button passed (762ms)
    Verify form title message: Login Form passed (558ms)",,"Logout",,"Authentication","Logout",
"tests.LogoutTests.shouldLogoutAfterLocalStorageAuthentication","User can logout after localStorage authentication","passed","13s 757ms",,,"Open home page with local storage authentication passed (11s 76ms)
 Verify welcome message: Welcome, user1! passed (1s 102ms)
  Click logout button passed (1s 5ms)
   Verify form title message: Login Form passed (567ms)",,"Logout",,"Authentication","Logout",
"tests.LoginTests.shouldLoginWithValidCredentials","User is logged in with valid credentials","passed","12s 798ms",,,"Open login page passed (8s 300ms)
 Fill and submit form passed (3s 576ms)
   Type username: user1 passed (1s 382ms)
   Type password passed (1s 192ms)
   Submit login form passed (1s 1ms)
  Verify welcome message: Welcome, user1! passed (919ms)",,"Login",,"Authentication","Login",
"tests.LoginTests.shouldShowErrorWhenPasswordIsWrong","Wrong password shows readable error","passed","14s 180ms",,,"Open login page passed (9s 728ms)
 Type username: user1 passed (1s 379ms)
  Type password passed (1s 265ms)
   Submit login form expecting validation error passed (1s 226ms)
    Verify error message: Wrong login or password passed (579ms)",,"Login",,"Authentication","Login",
